"","X","curveID","J_ref","J_ref_SE","E","E_SE","E_D","E_D_SE","T_opt","T_opt_SE","AIC","r_sq","breadth"
"85","J_ref84",1068,0.0239331274464893,0.000399237261004645,0.726422354707147,0.0104216675048358,1.64076111295884,0.00579879839460626,24.3458310718067,0.0364811478590596,-1347.26749412141,0.977433205351786,12.9586
"86","J_ref85",1075,0.0134225921773977,4.20265041147803e-05,0.000873395421358367,0.00162281983958683,1.55191797445471,0.0145609002970465,0,7.44985087860306,-3046.76105047921,0.996667158135801,NA
"87","J_ref86",1078,0.0203724629498518,0.000712757603796242,0.184083191476359,0.0140504658938936,0.984665298580895,0.00930733398907755,15.6087327699814,0.134930867641978,-1397.58996215313,0.986010479843081,NA
"88","J_ref87",1091,2.07566950793639,0.284186782141474,1.71633483542551,0.0606436248669014,1.98164265780558,0.0568371878473796,15.2277046375275,0.0603060121805211,-123.971579248619,0.982682020876784,11.1098143039591
"89","J_ref88",1092,0.0152369967142134,7.73077150743999e-05,0.131881163645322,0.00307225694141561,3.05217008436567,0.0295448837676906,20.0696541869505,0.0489688967122156,-805.180394087573,0.994059824737185,12.8506279761904
"90","J_ref89",1094,0.0177046797032436,0.000258812920875557,0.257111350741708,0.00756748195950486,1.64234744397137,0.0165260026391671,19.7980285863552,0.0580187788312312,-631.697699337609,0.977453734724044,13.7593708333333
"91","J_ref90",1095,0.0542475387912933,0.000958552944289491,0.490403156844358,0.00638949323617056,0.975537372896406,0.00170332156844609,20.2706469901466,0.0223255610948461,-2907.30603989099,0.992849616187119,13.0449541666666
"92","J_ref91",1097,0.0231845596220822,0.000525937492632019,0.328710656019594,0.0132860355533386,1.67489493902181,0.0307536810557336,22.5417442166202,0.0964247201276087,887.391129521418,0.897586354725917,13.4751666666667
"93","J_ref92",1098,0.0802294214024243,0.00177462181787723,0.702169798392055,0.010411565934407,1.43440060300721,0.00376686263114318,20.5242141846278,0.0299131665529002,-505.77635501145,0.983977111628052,12.3342
"94","J_ref93",1100,0.222765800130725,0.0153171235583456,1.11759953473987,0.0320932420701291,1.44180858200682,0.0268582006680036,18.7681777431901,0.0485090813548891,-693.410121620853,0.968235148638541,12.991
"95","J_ref94",1101,0.0174288653988058,0.000359375697507383,0.150668894828581,0.0120236881052654,1.65175712897845,0.0384751905885972,19.9855957824464,0.122118872117163,658.500204315286,0.934713984726528,13.0126
"96","J_ref95",1105,0.109019699917505,0.00701871093773534,0.580379209429864,0.028767357357123,1.2143284476655,0.0170300233531021,17.2436286257593,0.0577925949439329,964.386677833047,0.982338405145231,NA
"97","J_ref96",1108,0.012615269303631,0.000154607216729717,0.000203957233105142,0.0078435889751642,2.10649650039349,0.0507204016622258,0,116.825659719973,229.147689177279,0.963296504437707,NA
"98","J_ref97",1112,0.0209512446304042,0.000162023757418759,0.286936935871978,0.00379196938526451,1.46935090093599,0.0216635058246763,24.9020593026654,0.041501943378161,-1582.97823101653,0.979250890334094,13.8530833333333
"99","J_ref98",1113,0.0260159148068432,0.000925750182709525,0.765588001228201,0.017146853624095,1.35506202199322,0.0140424862218889,26.8201736835776,0.0514873496365109,-580.470739737893,0.977549172031906,NA
"100","J_ref99",1114,0.0287465170357102,0.000828446546876442,0.418931392499374,0.0118000388698795,1.08665537061695,0.0104768517685139,23.3248383553936,0.0742298171047194,-582.386384065649,0.936128481986231,15.2166333333334
"101","J_ref100",1119,0.047746659264824,0.00164500771277746,0.753648689549513,0.0163272383561275,1.55421852608693,0.00696268092943306,20.9476662082117,0.0551272328133875,-87.6323372714319,0.952462648080207,13.6585666666667
"102","J_ref101",1121,0.202455856667761,0.00455351607043025,0.96014681426304,0.00774204783339725,1.32600092628233,0.0053579866007716,16.234145051521,0.020450634272062,-2516.8920376234,0.993959074112309,14.34504875
"103","J_ref102",1122,0.0098407176144391,5.19209766146178e-05,0.122432899846744,0.0022676370907148,1.99605703898365,0.00716863573216095,13.1035617104525,0.0281915061569028,-3751.42388106946,0.998648668254436,NA
"104","J_ref103",1124,0.106689188075371,0.00791697105407256,0.777500109470132,0.0239316141198594,1.12855669860442,0.0160279262408326,15.6719108919783,0.0644032465423983,-1271.53078476514,0.943451750007794,13.9796533333333
"105","J_ref104",1125,0.0244998284630249,0.0002733859717216,0.234877036611018,0.00456994666767539,1.71938434501765,0.0105532350038274,15.1393051017416,0.0312409785767639,-1332.52857432617,0.992775207579747,12.9184
"106","J_ref105",1129,0.0256361102475409,0.000836562470915349,0.244624856993891,0.0126466111245083,1.24461910602907,0.0101245757255666,14.4771380220314,0.0634453965021075,-797.940157674171,0.984431719967161,NA
"107","J_ref106",1131,0.0371224826058011,0.000710930836678954,0.408531637168525,0.00788757214972383,1.31438276796072,0.00582081440494633,18.5580066193607,0.0413155241045194,-744.326571917857,0.984192858101625,14.7973
"108","J_ref107",1138,0.0367242758131767,0.000386448093963129,0.218108245478867,0.00437033767915095,1.08958900298362,0.00492137213840843,17.9149080193494,0.021324406004873,-2292.93244721287,0.99728464500056,11.851325
"109","J_ref108",1139,0.0211304277493544,5.70916243936658e-05,0.00689062581526999,0.00167932559159156,1.97495808381869,0.012310353422944,11.2604302945932,0.752762996763648,-1568.22735091004,0.997226462079508,NA
"110","J_ref109",1142,0.0122315877081686,0.000154076321769058,0.400581578271806,0.00795975913384849,1.90970192670735,0.0220716238441876,23.3858591826837,0.0538722968743695,-1347.36897072402,0.954002162528544,12.8821833333333
